Unnamed: 0_left,Team_left,Match Up_left,Game Date_left,W/L_left,MIN_left,PTS_left,FGM_left,FGA_left,FG%_left,3PM_left,3PA_left,3P%_left,FTM_left,FTA_left,FT%_left,OREB_left,DREB_left,REB_left,AST_left,STL_left,BLK_left,TOV_left,PF_left,+/-_left,winrate 35_left,Unnamed: 0_right,Team_right,Match Up_right,Game Date_right,W/L_right,MIN_right,PTS_right,FGM_right,FGA_right,FG%_right,3PM_right,3PA_right,3P%_right,FTM_right,FTA_right,FT%_right,OREB_right,DREB_right,REB_right,AST_right,STL_right,BLK_right,TOV_right,PF_right,+/-_right,winrate 35_right
83,PHX,PHX vs. SAS,11/14/2018,W,240,101.53571428571429,37.67857142857143,84.71428571428571,44.25,9.892857142857142,30.0,32.892857142857146,16.285714285714285,21.642857142857142,75.07142857142857,8.571428571428571,34.392857142857146,42.964285714285715,22.535714285714285,7.214285714285714,3.8214285714285716,17.357142857142858,21.607142857142858,-12.25,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,
85,MIL,MIL vs. MEM,11/14/2018,L,240,117.03448275862068,44.10344827586207,90.65517241379311,48.37931034482759,11.96551724137931,32.241379310344826,36.55172413793103,16.862068965517242,21.103448275862068,79.0,9.793103448275861,36.06896551724138,45.86206896551724,27.275862068965516,8.551724137931034,5.9655172413793105,14.241379310344827,21.06896551724138,5.586206896551724,0.6551724137931034,,,,,,,,,,,,,,,,,,,,,,,,,,
87,NOP,NOP @ MIN,11/14/2018,L,240,112.90322580645162,43.67741935483871,90.41935483870968,47.87096774193548,9.161290322580646,25.903225806451612,34.54838709677419,16.387096774193548,21.322580645161292,76.93548387096774,10.193548387096774,36.58064516129032,46.774193548387096,27.258064516129032,7.838709677419355,6.419354838709677,14.483870967741936,20.29032258064516,2.2580645161290325,0.5483870967741935,,,,,,,,,,,,,,,,,,,,,,,,,,
89,NYK,NYK @ OKC,11/14/2018,L,240,106.43333333333334,40.86666666666667,91.06666666666666,44.4,9.533333333333333,28.266666666666666,33.1,15.166666666666666,19.6,78.03333333333333,11.233333333333333,33.9,45.13333333333333,22.3,7.066666666666666,4.4,14.233333333333333,22.033333333333335,-4.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
91,TOR,TOR vs. DET,11/14/2018,L,240,113.5,42.59375,88.3125,47.90625,12.3125,34.03125,36.09375,16.0,20.4375,78.03125,10.375,35.59375,45.96875,25.6875,6.875,5.90625,14.21875,21.65625,6.15625,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,
93,MIA,MIA @ BKN,11/14/2018,W,240,109.89655172413794,40.58620689655172,90.0,44.827586206896555,11.793103448275861,31.82758620689655,36.37931034482759,16.93103448275862,22.724137931034484,74.37931034482759,10.620689655172415,35.51724137931034,46.13793103448276,23.82758620689655,7.310344827586207,6.206896551724138,14.655172413793103,22.413793103448278,1.2758620689655173,0.4827586206896552,,,,,,,,,,,,,,,,,,,,,,,,,,
95,BOS,BOS vs. CHI,11/14/2018,W,240,103.27586206896552,37.86206896551724,86.79310344827586,43.275862068965516,11.620689655172415,31.24137931034483,37.275862068965516,15.931034482758621,20.551724137931036,76.72413793103448,10.206896551724139,35.206896551724135,45.41379310344828,23.0,7.862068965517241,4.620689655172414,14.379310344827585,19.413793103448278,0.9655172413793104,0.5517241379310345,,,,,,,,,,,,,,,,,,,,,,,,,,
97,ORL,ORL vs. PHI,11/14/2018,W,240,99.41935483870968,38.096774193548384,88.96774193548387,42.516129032258064,10.03225806451613,30.580645161290324,32.38709677419355,13.193548387096774,17.516129032258064,75.70967741935483,9.67741935483871,33.67741935483871,43.354838709677416,24.032258064516128,8.064516129032258,5.548387096774194,13.870967741935484,18.741935483870968,-5.967741935483871,0.3548387096774194,,,,,,,,,,,,,,,,,,,,,,,,,,
99,DAL,DAL vs. UTA,11/14/2018,W,240,105.46666666666667,39.06666666666667,87.46666666666667,44.3,11.733333333333333,34.06666666666667,34.53333333333333,15.6,20.733333333333334,74.16666666666667,9.566666666666666,34.1,43.666666666666664,23.033333333333335,6.766666666666667,4.3,14.133333333333333,20.133333333333333,-3.433333333333333,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
101,DEN,DEN vs. HOU,11/13/2018,L,240,112.51724137931035,41.241379310344826,88.44827586206897,46.241379310344826,11.10344827586207,31.103448275862068,34.793103448275865,18.93103448275862,24.896551724137932,76.27586206896552,11.379310344827585,35.44827586206897,46.827586206896555,25.655172413793103,7.413793103448276,5.620689655172414,13.931034482758621,20.655172413793103,4.827586206896552,0.6551724137931034,,,,,,,,,,,,,,,,,,,,,,,,,,
