home,away,date,svm
ATL,IND,01/04/2020,[0]
BKN,TOR,01/04/2020,[0]
CHI,BOS,01/04/2020,[0]
CLE,OKC,01/04/2020,[0]
DAL,CHA,01/04/2020,[0]
GSW,DET,01/04/2020,[0]
LAC,MEM,01/04/2020,[0]
MIL,SAS,01/04/2020,[0]
ORL,UTA,01/04/2020,[0]
SAC,NOP,01/04/2020,[0]
WAS,DEN,01/04/2020,[0]
CLE,MIN,01/05/2020,[0]
LAC,NYK,01/05/2020,[0]
LAL,DET,01/05/2020,[0]
MIA,POR,01/05/2020,[0]
PHX,MEM,01/05/2020,[0]
ATL,DEN,01/06/2020,[0]
CHA,IND,01/06/2020,[0]
DAL,CHI,01/06/2020,[0]
NOP,UTA,01/06/2020,[0]
ORL,BKN,01/06/2020,[0]
PHI,OKC,01/06/2020,[0]
SAC,GSW,01/06/2020,[0]
SAS,MIL,01/06/2020,[1]
WAS,BOS,01/06/2020,[1]
BKN,OKC,01/07/2020,[0]
CLE,DET,01/07/2020,[0]
LAL,NYK,01/07/2020,[0]
MEM,MIN,01/07/2020,[0]
PHX,SAC,01/07/2020,[0]
TOR,POR,01/07/2020,[0]
ATL,HOU,01/08/2020,[1]
BOS,SAS,01/08/2020,[0]
CHA,TOR,01/08/2020,[0]
DAL,DEN,01/08/2020,[0]
GSW,MIL,01/08/2020,[1]
IND,MIA,01/08/2020,[0]
NOP,CHI,01/08/2020,[0]
ORL,WAS,01/08/2020,[0]
UTA,NYK,01/08/2020,[0]
DET,CLE,01/09/2020,[0]
MIN,POR,01/09/2020,[0]
OKC,HOU,01/09/2020,[0]
PHI,BOS,01/09/2020,[0]
BKN,MIA,01/10/2020,[0]
CHI,IND,01/10/2020,[0]
DAL,LAL,01/10/2020,[0]
LAC,GSW,01/10/2020,[0]
MEM,SAS,01/10/2020,[0]
NYK,NOP,01/10/2020,[0]
PHX,ORL,01/10/2020,[0]
SAC,MIL,01/10/2020,[1]
UTA,CHA,01/10/2020,[0]
WAS,ATL,01/10/2020,[0]
BOS,NOP,01/11/2020,[0]
DAL,PHI,01/11/2020,[0]
DEN,CLE,01/11/2020,[0]
DET,CHI,01/11/2020,[0]
HOU,MIN,01/11/2020,[0]
OKC,LAL,01/11/2020,[0]
POR,MIL,01/11/2020,[1]
BKN,ATL,01/12/2020,[0]
DEN,LAC,01/12/2020,[0]
MEM,GSW,01/12/2020,[0]
NYK,MIA,01/12/2020,[1]
PHX,CHA,01/12/2020,[0]
TOR,SAS,01/12/2020,[0]
WAS,UTA,01/12/2020,[1]
BOS,CHI,01/13/2020,[0]
DET,NOP,01/13/2020,[0]
IND,PHI,01/13/2020,[0]
LAL,CLE,01/13/2020,[0]
MIN,OKC,01/13/2020,[0]
POR,CHA,01/13/2020,[0]
SAC,ORL,01/13/2020,[0]
ATL,PHX,01/14/2020,[0]
BKN,UTA,01/14/2020,[0]
GSW,DAL,01/14/2020,[1]
LAC,CLE,01/14/2020,[0]
MEM,HOU,01/14/2020,[0]
MIL,NYK,01/14/2020,[0]
BOS,DET,01/15/2020,[0]
CHI,WAS,01/15/2020,[0]
DEN,CHA,01/15/2020,[0]
HOU,POR,01/15/2020,[0]
LAL,ORL,01/15/2020,[0]
MIA,SAS,01/15/2020,[0]
MIN,IND,01/15/2020,[0]
OKC,TOR,01/15/2020,[0]
PHI,BKN,01/15/2020,[0]
SAC,DAL,01/15/2020,[0]
GSW,DEN,01/16/2020,[0]
LAC,ORL,01/16/2020,[0]
MIL,BOS,01/16/2020,[0]
NOP,UTA,01/16/2020,[0]
NYK,PHX,01/16/2020,[0]
DAL,POR,01/17/2020,[0]
IND,MIN,01/17/2020,[0]
MEM,CLE,01/17/2020,[0]
OKC,MIA,01/17/2020,[0]
PHI,CHI,01/17/2020,[0]
SAS,ATL,01/17/2020,[0]
TOR,WAS,01/17/2020,[0]
ATL,DET,01/18/2020,[0]
BKN,MIL,01/18/2020,[0]
BOS,PHX,01/18/2020,[0]
CHI,CLE,01/18/2020,[0]
GSW,ORL,01/18/2020,[0]
HOU,LAL,01/18/2020,[0]
MIN,TOR,01/18/2020,[0]
NOP,LAC,01/18/2020,[0]
NYK,PHI,01/18/2020,[0]
OKC,POR,01/18/2020,[0]
UTA,SAC,01/18/2020,[0]
DEN,IND,01/19/2020,[0]
SAS,MIA,01/19/2020,[0]
ATL,TOR,01/20/2020,[1]
BKN,PHI,01/20/2020,[0]
BOS,LAL,01/20/2020,[0]
CHA,ORL,01/20/2020,[0]
CLE,NYK,01/20/2020,[0]
HOU,OKC,01/20/2020,[0]
MEM,NOP,01/20/2020,[0]
MIA,SAC,01/20/2020,[0]
MIL,CHI,01/20/2020,[0]
MIN,DEN,01/20/2020,[0]
PHX,SAS,01/20/2020,[0]
POR,GSW,01/20/2020,[0]
UTA,IND,01/20/2020,[0]
WAS,DET,01/20/2020,[0]
DAL,LAC,01/21/2020,[0]
ATL,LAC,01/22/2020,[0]
BOS,MEM,01/22/2020,[0]
CHI,MIN,01/22/2020,[0]
DET,SAC,01/22/2020,[0]
GSW,UTA,01/22/2020,[0]
HOU,DEN,01/22/2020,[0]
MIA,WAS,01/22/2020,[0]
NOP,SAS,01/22/2020,[0]
NYK,LAL,01/22/2020,[0]
ORL,OKC,01/22/2020,[0]
PHX,IND,01/22/2020,[0]
TOR,PHI,01/22/2020,[0]
BKN,LAL,01/23/2020,[0]
CLE,WAS,01/23/2020,[0]
POR,DAL,01/23/2020,[1]
CHA,MIL,01/24/2020,[1]
CHI,SAC,01/24/2020,[0]
DET,MEM,01/24/2020,[0]
GSW,IND,01/24/2020,[0]
MIA,LAC,01/24/2020,[0]
MIN,HOU,01/24/2020,[0]
NOP,DEN,01/24/2020,[0]
NYK,TOR,01/24/2020,[1]
OKC,ATL,01/24/2020,[0]
ORL,BOS,01/24/2020,[0]
SAS,PHX,01/24/2020,[0]
CLE,CHI,01/25/2020,[0]
DET,BKN,01/25/2020,[0]
MIN,OKC,01/25/2020,[0]
PHI,LAL,01/25/2020,[0]
UTA,DAL,01/25/2020,[0]
